date_and_time,hexagon_center,num_bikes_avg
2020-10-07T16:28:02,"34.00376415867797,-118.45826160594417",31.476190476190474
2020-10-07T15:49:02,"34.02826120709732,-118.49694190899979",31.238095238095237
2020-10-07T16:28:02,"34.024761628751705,-118.50467796961091",29.857142857142858
2020-10-07T16:42:02,"34.03875994213419,-118.28806827249947",31.61904761904762
2020-10-07T14:28:03,"34.06325699055355,-118.45052554533305",29.238095238095237
2020-10-07T16:00:03,"34.16474476257659,-118.38090099983295",29.0
2020-10-07T16:21:02,"34.077255303936035,-118.37316493922182",29.0
2020-10-07T15:35:02,"34.09475319566415,-118.30354039372172",28.19047619047619
2020-10-07T16:00:03,"34.077255303936035,-118.2958043331106",28.047619047619047
2020-10-07T14:35:02,"34.056257833862304,-118.23391584822161",28.047619047619047
2020-10-07T15:28:02,"34.04225952047981,-118.52788615144428",26.571428571428573
2020-10-07T16:21:02,"34.02826120709732,-118.48146978777754",26.666666666666668
2020-10-07T15:28:02,"34.066756568899166,-118.44278948472193",26.952380952380953
2020-10-07T16:42:02,"34.087754038972896,-118.33448463616621",25.571428571428573
2020-10-07T15:07:02,"34.087754038972896,-118.34995675738845",25.714285714285715
2020-10-07T15:07:02,"34.03526036378857,-118.4659976665553",25.19047619047619
2020-10-07T15:49:02,"34.098252774009765,-118.35769281799958",25.095238095238095
2020-10-07T15:21:02,"34.05975741220792,-118.44278948472193",24.571428571428573
2020-10-07T15:49:02,"34.056257833862304,-118.28033221188835",24.428571428571427
2020-10-07T16:07:01,"34.07375572559041,-118.38090099983295",23.38095238095238
2020-10-07T16:14:02,"33.98276668860424,-118.45826160594417",23.61904761904762
2020-10-07T14:56:01,"34.017762472060454,-118.24165190883274",24.0
2020-10-07T15:35:02,"33.73429662606506,-118.28033221188835",22.19047619047619
2020-10-07T15:14:02,"34.066756568899166,-118.30354039372172",22.761904761904763
2020-10-07T14:35:02,"34.014262893714836,-118.48146978777754",21.476190476190474
2020-10-07T16:42:02,"33.98976584529548,-118.44278948472193",18.952380952380953
2020-10-07T14:28:03,"34.024761628751705,-118.47373372716642",21.19047619047619
2020-10-07T15:49:02,"34.07375572559041,-118.3654288786107",20.857142857142858
2020-10-07T14:28:03,"34.02826120709732,-118.51241403022203",20.476190476190474
2020-10-07T15:35:02,"34.05275825551668,-118.28806827249947",19.761904761904763
2020-10-07T16:42:02,"34.17524349761345,-118.37316493922182",19.714285714285715
2020-10-07T15:14:02,"34.00726373702359,-118.49694190899979",18.857142857142858
2020-10-07T15:49:02,"34.07375572559041,-118.30354039372172",18.857142857142858
2020-10-07T16:07:01,"34.08425446062728,-118.32674857555509",19.142857142857142
2020-10-07T14:49:02,"34.06325699055355,-118.28033221188835",17.285714285714285
2020-10-07T15:49:02,"34.04925867717105,-118.52788615144428",14.904761904761905
2020-10-07T16:42:02,"34.03526036378857,-118.24938796944386",16.666666666666668
2020-10-07T16:28:02,"34.00026458033235,-118.4350534241108",18.0
2020-10-07T15:49:02,"33.996765001986724,-118.44278948472193",17.761904761904763
2020-10-07T16:07:01,"33.7237978910282,-118.28806827249947",18.0
2020-10-07T16:35:02,"34.06325699055355,-118.35769281799958",17.095238095238095
2020-10-07T15:28:02,"34.07025614724479,-118.24938796944386",18.0
2020-10-07T14:49:02,"34.157745605885346,-118.3654288786107",15.523809523809524
2020-10-07T15:00:02,"34.03176078544295,-118.48920584838866",17.571428571428573
2020-10-07T15:07:02,"34.02826120709732,-118.24938796944386",16.904761904761905
2020-10-07T16:35:02,"34.04225952047981,-118.28033221188835",16.19047619047619
2020-10-07T15:49:02,"33.73079704771944,-118.28806827249947",16.904761904761905
2020-10-07T15:21:02,"34.07025614724479,-118.37316493922182",15.476190476190476
2020-10-07T15:00:02,"34.04925867717105,-118.4659976665553",15.380952380952381
2020-10-07T16:00:03,"34.07025614724479,-118.28033221188835",14.761904761904763
2020-10-07T15:14:02,"34.157745605885346,-118.38090099983295",15.333333333333334
2020-10-07T14:56:01,"34.03176078544295,-118.47373372716642",15.571428571428571
2020-10-07T16:28:02,"34.03176078544295,-118.25712403005498",14.80952380952381
2020-10-07T14:42:02,"34.066756568899166,-118.34995675738845",14.80952380952381
2020-10-07T16:21:02,"33.98276668860424,-118.47373372716642",13.523809523809524
2020-10-07T14:42:02,"34.087754038972896,-118.31901251494396",13.619047619047619
2020-10-07T15:14:02,"34.024761628751705,-118.24165190883274",14.523809523809524
2020-10-07T14:49:02,"34.17174391926783,-118.38090099983295",14.0
2020-10-07T16:07:01,"34.045759098825435,-118.28806827249947",13.428571428571429
2020-10-07T16:07:01,"34.07375572559041,-118.25712403005498",13.904761904761905
2020-10-07T14:35:02,"34.08425446062728,-118.31127645433284",13.523809523809524
2020-10-07T16:35:02,"34.03176078544295,-118.22617978761049",12.904761904761905
2020-10-07T16:14:02,"34.02826120709732,-118.40410918166631",13.238095238095237
2020-10-07T16:14:02,"34.03176078544295,-118.33448463616621",13.0
2020-10-07T15:35:02,"33.96876837522175,-118.45826160594417",12.571428571428571
2020-10-07T14:56:01,"34.087754038972896,-118.30354039372172",11.0
2020-10-07T16:42:02,"34.024761628751705,-118.39637312105519",10.904761904761905
2020-10-07T16:21:02,"34.06325699055355,-118.2648600906661",11.666666666666666
2020-10-07T14:28:03,"34.02126205040608,-118.40410918166631",11.285714285714286
2020-10-07T14:49:02,"34.18574223265032,-118.3654288786107",11.904761904761905
2020-10-07T16:42:02,"34.00026458033235,-118.45052554533305",10.476190476190476
2020-10-07T16:07:01,"34.03176078544295,-118.24165190883274",11.19047619047619
2020-10-07T14:42:02,"34.098252774009765,-118.2958043331106",10.571428571428571
2020-10-07T16:42:02,"34.014262893714836,-118.4659976665553",11.047619047619047
2020-10-07T15:35:02,"34.045759098825435,-118.45826160594417",10.095238095238095
